5.839899545599992394e-12 4.798210561200004414e-11
5.378441338858639124e-12 4.312239326758594933e-11
4.953446717647537866e-12 3.875488116676734240e-11
4.562034395968719750e-12 3.482971840014353182e-11
4.201550761786650871e-12 3.130210304640410554e-11
3.958348075532846981e-12 2.895308622853066658e-11
3.771768250465256775e-12 2.716846535233484914e-11
3.593983011032374517e-12 2.549384558782071297e-11
3.424577817578273305e-12 2.392244664639460910e-11
3.278399940630947089e-12 2.258426181869708243e-11
3.167849759168342615e-12 2.158073980105867352e-11
3.061027415322494190e-12 2.062180885520155514e-11
2.957807203525887547e-12 1.970548759591678296e-11
2.858067657100000597e-12 1.882988267999999223e-11
2.782964610075144192e-12 1.817555022510028410e-11
2.709835087945125844e-12 1.754395561561423018e-11
2.638627231289258215e-12 1.693430871862051658e-11
2.569290543425941455e-12 1.634584685806654787e-11
2.509890594049892212e-12 1.584554306748635550e-11
2.455837127662631910e-12 1.539347622738882067e-11
2.402947766689132111e-12 1.495430666869384281e-11
2.351197440740665492e-12 1.452766643725630120e-11
2.303134921561290759e-12 1.413415144291165784e-11
2.261104743677712816e-12 1.379215813657184096e-11
2.219841579413861256e-12 1.345843978200771868e-11
2.179331431448722047e-12 1.313279615650859890e-11
2.139560557899999081e-12 1.281503188200002042e-11
2.105679718439686111e-12 1.254585635459853324e-11
2.072335396292854177e-12 1.228233477056748621e-11
2.039519095482645569e-12 1.202434837068713322e-11
2.007222454569563610e-12 1.177178089023590256e-11
1.977909023275534252e-12 1.154372143013038260e-11
1.950242667780283914e-12 1.132950746994621445e-11
1.922963300370631848e-12 1.111926862480748477e-11
1.896065507981657829e-12 1.091293112949552536e-11
1.870466212223199882e-12 1.071746250159901453e-11
1.847033500757953166e-12 1.053933631099963098e-11
1.823894348172854057e-12 1.036417061032710336e-11
1.801045076839035223e-12 1.019191619569642351e-11
1.778482055200002342e-12 1.002252468099999725e-11
5.717125045945795023e-12 4.685396741465132779e-11
5.264641568282316573e-12 4.209043099291350187e-11
4.847970023349542039e-12 3.781119249712078784e-11
4.464276065609583752e-12 3.396701445739645559e-11
4.110949674603074254e-12 3.051366526556445099e-11
3.872607985659795812e-12 2.821544286169520781e-11
3.689776348158245984e-12 2.647019317165977939e-11
3.515576466774365573e-12 2.483289487886123185e-11
3.349600823341724062e-12 2.329687071285933634e-11
3.206394590387691411e-12 2.198917521562607374e-11
3.098101861473213760e-12 2.100886120576491138e-11
2.993466609767231364e-12 2.007225122520482224e-11
2.892365307682354552e-12 1.917739687561839108e-11
2.794678599650375193e-12 1.832243662151678899e-11
2.721127261055663661e-12 1.768371582463309624e-11
2.649511672571784093e-12 1.706726085760579589e-11
2.579780888443546352e-12 1.647229553280866762e-11
2.511885303724128501e-12 1.589807072054407330e-11
2.453723165727180514e-12 1.540995671160149811e-11
2.400798484882736286e-12 1.496896456973469034e-11
2.349015343508456354e-12 1.454059245483011938e-11
2.298349119587888211e-12 1.412447921514526136e-11
2.251295243630290840e-12 1.374071708943956564e-11
2.210148874440548818e-12 1.340724595741014276e-11
2.169754527315539761e-12 1.308186777971300674e-11
2.130098457733082027e-12 1.276438614981222041e-11
2.091167172376180925e-12 1.245460942772911648e-11
